SKU,UNIDAD,DESCRIPCION,CATEGORIA
PUR6AV04IG-G,Rollo,"Bobina de Cable UTP de 4 Pares, Vari-MaTriX, Cat6A, 23 AWG,CMR (Riser), Color Azul, 305m",Cableado
PFL6X04BU-CEG,Rollo,"Bobina de Cable Blindado F/UTP de 4 Pares, Cat6A, Soporte de Aplicaciones 10GBase-T, LSZH (Libre de Gases Tóxicos), Color Azul, 305m",Cableado
CPPL48WBLY,Pieza,"Panel de Parcheo Modular Mini-Com (Sin Conectores), Plano,Sin Blindaje, Con Etiqueta y Cubierta, de 48 puertos, 2UR",Cableado
CJ6X88TGBU,Pieza,"Conector Jack RJ45 Estilo TG, Mini-Com, Categoría 6A, de 8 posiciones y 8 cables, Color Azul",Cableado
UTP6AX3BU,Pieza,"Cable de Parcheo UTP, Cat6A, Diámetro Reducido (28 AWG),CM/LSZH, Color Azul, 8in (20.3cm)",Cableado
UTP6AX7BU,Pieza,"Cable de Parcheo UTP, Cat6A, 24 AWG, CM, Color Azul, 7ft",Cableado
CP48BLY,Pieza,"Panel de Parcheo Modular Mini-Com (Sin Conectores), Plano,Totalmente Blindado, de 48 puertos, 2UR ",Cableado
CJS6X88TGBUY,Pieza,"Conector Jack RJ45 Blindado, Estilo TG, Mini-Com, Categoría 6A, de 8 posiciones y 8 cables, Color Azul ",Cableado
STP28X1MBU,Pieza,"Patch Cord Cat6A, Diametro Reducido 28 AWG, BlindadoS/FTP, CM/LS0H, 1 m, Color Azul",Cableado
STP28X2MBU,Pieza,"Patch Cord Cat6A, Diametro Reducido 28 AWG, BlindadoS/FTP, CM/LS0H, 2m, Color Azul",Cableado
FOCRZ06Y,Metros,"Cable de Fibra Óptica de 6 hilos, Multimodo OM4 50/125 Optimizada, Interior/Exterior, Loose Tube 250um, No Conductiva(Dieléctrica), OFNR (Riser)
VALIDAR DISTANCIA DE ENLACES",Fibra Optica
FCE1U,Pieza,"Panel de Distribución de Fibra Óptica, Acepta 4 Placas FAP o FMP, Bandeja Deslizable e Inclinable Hacia Abajo, Hasta 96 Fibras, Color Negro, 1UR",Fibra Optica
FOSMF,Pieza,"Charola de Empalme para Fibra Óptica, Para Protección de 24 Empalmes de Fusión o Mecánicos",Fibra Optica
